Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Community Involvement,Not Listed Communities,Associated Communities,Main Community,Community Scale,U.S. Born,State,Country,Years on Island:,Months on Island:,Stay on Island:,Feel Aloha Spirit,Hawaiian Culture,Residence,Education,Gender,Religious View,Sexuality,Relationship Status ,Age,Occupation,Other Occupation,ID
5/14/2025,5/14/2025,Survey Preview,,100,303,True,5/14/2025 0:15,R_65AgaamGfVxOhd7,,,,,21.3133,-157.823,preview,EN,"Acroyoga,Rock Climbing,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Art / Vending",,"Volley Ball,Fire Spinning,Surfing,Running,Calisthenics,Boating,Dance (salsa, zouk, hip hop, etc.),Art / Vending,Music Production (DJs, light production, etc.),Yoga,Paddling / Outrigger",Acroyoga,7.0,Yes,Florida,United States,1.0,,Yep.,Almost Always,A little,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Single,25 - 34,,,0
5/14/2025,5/14/2025,Survey Preview,,100,188,True,5/14/2025 0:27,R_7Dwjn0ZS4REgIZj,,,,,21.3513,-157.8725,preview,EN,"Fire Spinning,Bar Scene,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Theatre,Dance (salsa, zouk, hip hop, etc.),Art / Vending",,"Fire Spinning,Spiritual (meditations, retreats, etc.)",Fire Spinning,6.0,Yes,,United States,,,I'm still feeling it out... We'll see.,Sometimes,A moderate amount,Honolulu,Associates or technical degree,Female,Christian,Heterosexual,Single,35 - 44,Tech,,1
5/14/2025,5/14/2025,Survey Preview,,100,431,True,5/14/2025 0:27,R_54dFprQXvmkNOIw,,,,,21.2982,-157.8444,preview,EN,"Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Music (bands, live performances),Art / Vending,Yoga,Slackline / Highline",,"Acroyoga,Fire Spinning,Calisthenics",Art / Vending,1.0,Yes,Pennsylvania,United States,6.0,,Yep.,Almost Always,A lot,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Single,25 - 34,Freelance,,2
5/16/2025,5/16/2025,Survey Preview,,100,223,True,5/16/2025 16:44,R_1q1X9JmySJ0KoFa,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Fire Spinning,Surfing",,"Volley Ball,LGBTQ,Rock Climbing,Dance (salsa, zouk, hip hop, etc.),Slackline / Highline,13",Surfing,5.0,Yes,Connecticut,United States,4.0,,I'm still feeling it out... We'll see.,Almost Always,A lot,Central Oahu,Bachelor’s degree,Female,Christian,Heterosexual,Taken - in a monogamous relationship,25 - 34,Military,,3
5/16/2025,5/16/2025,Survey Preview,,100,257,True,5/16/2025 17:24,R_63ifX3SvSKKFudr,,,,,21.2982,-157.8444,preview,EN,"Acroyoga,Other / I don't see a community listed here","Hiking, disc golf ","Volley Ball,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Calisthenics,Yoga,Slackline / Highline",Acroyoga,,Yes,Ohio,United States,2.0,,Nope.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Taken - in a monogamous relationship,25 - 34,Medical Field / Healthcare,,4
5/16/2025,5/16/2025,Survey Preview,,100,256,True,5/16/2025 18:41,R_1Cj9usjUjiIY4O5,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Fire Spinning,Spiritual (meditations, retreats, etc.),Art / Vending,Yoga",,"Rock Climbing,Surfing,Running,Calisthenics,Boating,Dance (salsa, zouk, hip hop, etc.),Slackline / Highline,13",Acroyoga,5.0,Yes,New York,United States,2.0,,Yep.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Single,18 - 24,Business and Sales,,5
5/16/2025,5/16/2025,Survey Preview,,100,49,True,5/16/2025 18:57,R_1T9Fm2PPNXayFcl,,,,,21.3266,-157.8621,preview,EN,,,,,,,,United States,,,,,,,,,,,,,,,6
5/16/2025,5/16/2025,Survey Preview,,100,173,True,5/16/2025 19:00,R_15MBhmjgKFNn29k,,,,,21.3266,-157.8621,preview,EN,"Acroyoga,Volley Ball,Rock Climbing,Spiritual (meditations, retreats, etc.),Calisthenics,Yoga,Slackline / Highline",,Bar Scene,Acroyoga,6.0,Yes,Michigan,United States,5.0,,I'm still feeling it out... We'll see.,Sometimes,A little,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Single,35 - 44,Tech,,7
5/17/2025,5/17/2025,Survey Preview,,100,325,True,5/17/2025 21:20,R_59d5s6ehUtTje2B,,,,,21.2891,-157.8028,preview,EN,"Acroyoga,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Running,Yoga,13",,"Volley Ball,Music (bands, live performances),Music Production (DJs, light production, etc.),Slackline / Highline",Slackline / Highline,7.0,No,,France,3.0,,Yep.,Half of the time,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,Christian,Heterosexual,Single,35 - 44,Tech,,8
5/17/2025,5/17/2025,Survey Preview,,100,188,True,5/17/2025 21:25,R_5Op3IYBxg9DhLOI,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Yoga",,"Acroyoga,Art / Vending,Music Production (DJs, light production, etc.)","Spiritual (meditations, retreats, etc.)",7.0,Yes,Ohio,United States,0.0,3.0,Yep.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,Christian,Bisexual,Fluid - open to whatever happens,25 - 34,"Freelance,Research",,9
