Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Community Involvement,Not Listed Communities,Associated Communities,Main Community,Community Scale,U.S. Born,State,Country,Years on Island:,Months on Island:,Stay on Island:,Feel Aloha Spirit,Hawaiian Culture,Residence,Education,Gender,Religious View,Sexuality,Relationship Status ,Age,Occcupation,Other Occupation
5/14/2025,5/14/2025,Survey Preview,,100,303,True,5/14/2025 0:15,R_65AgaamGfVxOhd7,,,,,21.3133,-157.823,preview,EN,"Acroyoga,Rock Climbing,Free Diving / Scuba Diving,Spiritual,Music,Art / Vending",,"Volley Ball,Fire Spinning,Surfing,Running,Calisthenics,Boating,Dance,Art / Vending,Music Production,Yoga,Paddling / Outrigger",Acroyoga,7.0,Yes,Florida,,1.0,,Yep.,Almost Always,A little,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Single,25 - 34,,
5/14/2025,5/14/2025,Survey Preview,,100,188,True,5/14/2025 0:27,R_7Dwjn0ZS4REgIZj,,,,,21.3513,-157.8725,preview,EN,"Fire Spinning,Bar Scene,Spiritual,Music,Theatre,Dance,Art / Vending",,"Fire Spinning,Spiritual",Fire Spinning,6.0,Yes,,,,,I'm still feeling it out... We'll see.,Sometimes,A moderate amount,Honolulu,Associates or technical degree,Female,Christian,Heterosexual,Single,35 - 44,Tech,
5/14/2025,5/14/2025,Survey Preview,,100,431,True,5/14/2025 0:27,R_54dFprQXvmkNOIw,,,,,21.2982,-157.8444,preview,EN,"Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual,Running,Music,Art / Vending,Yoga,Slackline / Highline",,"Acroyoga,Fire Spinning,Calisthenics",Art / Vending,1.0,Yes,Pennsylvania,,6.0,,Yep.,Almost Always,A lot,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Single,25 - 34,Freelance,
5/16/2025,5/16/2025,Survey Preview,,100,223,True,5/16/2025 16:44,R_1q1X9JmySJ0KoFa,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Fire Spinning,Surfing",,"Volley Ball,LGBTQ,Rock Climbing,Dance,Slackline / Highline,13",Surfing,5.0,Yes,Connecticut,,4.0,,I'm still feeling it out... We'll see.,Almost Always,A lot,Central Oahu,Bachelor’s degree,Female,Christian,Heterosexual,Taken - in a monogamous relationship,25 - 34,Military,
5/16/2025,5/16/2025,Survey Preview,,100,257,True,5/16/2025 17:24,R_63ifX3SvSKKFudr,,,,,21.2982,-157.8444,preview,EN,"Acroyoga,Other / I don't see a community listed here","Hiking, disc golf ","Volley Ball,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Calisthenics,Yoga,Slackline / Highline",Acroyoga,,Yes,Ohio,,2.0,,Nope.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Taken - in a monogamous relationship,25 - 34,Medical Field / Healthcare,
5/16/2025,5/16/2025,Survey Preview,,100,256,True,5/16/2025 18:41,R_1Cj9usjUjiIY4O5,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Fire Spinning,Spiritual,Art / Vending,Yoga",,"Rock Climbing,Surfing,Running,Calisthenics,Boating,Dance,Slackline / Highline,13",Acroyoga,5.0,Yes,New York,,2.0,,Yep.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Single,18 - 24,Business and Sales,
5/16/2025,5/16/2025,Survey Preview,,100,49,True,5/16/2025 18:57,R_1T9Fm2PPNXayFcl,,,,,21.3266,-157.8621,preview,EN,,,,,,,,,,,,,,,,,,,,,,
5/16/2025,5/16/2025,Survey Preview,,100,173,True,5/16/2025 19:00,R_15MBhmjgKFNn29k,,,,,21.3266,-157.8621,preview,EN,"Acroyoga,Volley Ball,Rock Climbing,Spiritual,Calisthenics,Yoga,Slackline / Highline",,Bar Scene,Acroyoga,6.0,Yes,Michigan,,5.0,,I'm still feeling it out... We'll see.,Sometimes,A little,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Single,35 - 44,Tech,
5/17/2025,5/17/2025,Survey Preview,,100,325,True,5/17/2025 21:20,R_59d5s6ehUtTje2B,,,,,21.2891,-157.8028,preview,EN,"Acroyoga,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Spiritual,Running,Yoga,13",,"Volley Ball,Music,Music Production,Slackline / Highline",Slackline / Highline,7.0,No,,France,3.0,,Yep.,Half of the time,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,Christian,Heterosexual,Single,35 - 44,Tech,
5/17/2025,5/17/2025,Survey Preview,,100,188,True,5/17/2025 21:25,R_5Op3IYBxg9DhLOI,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Spiritual,Music,Yoga",,"Acroyoga,Art / Vending,Music Production","Spiritual (meditations, retreats, etc.)",7.0,Yes,Ohio,,0.0,3.0,Yep.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,Christian,Bisexual,Fluid - open to whatever happens,25 - 34,"Freelance,Research",
5/17/2025,5/17/2025,Survey Preview,,100,240,True,5/17/2025 21:26,R_6OOEfGUuvh6WNa5,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Rock Climbing,Music Production,Yoga",,"Acroyoga,Free Diving / Scuba Diving,Surfing,Art / Vending","Music Production (Djs, light production, etc.)",10.0,Yes,Maryland,,16.0,,Yep.,Almost Always,A lot,Honolulu,Bachelor’s degree,Female,Christian,Gay,Single,25 - 34,Freelance,
5/17/2025,5/17/2025,Survey Preview,,100,291,True,5/17/2025 21:26,R_3r0oktnjnSOPs1P,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Poetry,Fire Spinning,Bar Scene,Spiritual,Boating,Music,Yoga,Other / I don't see a community listed here,13",Business community / there’s a community of workers here in downtown Honolulu that Work for local corporate businesses etc. it’s like a mini NYC vibe !,"Volley Ball,LGBTQ,Rock Climbing,Free Diving / Scuba Diving,Surfing,Running,SurfBreak,Music Production,Slackline / Highline","Spiritual (meditations, retreats, etc.)",5.0,Yes,New Jersey,,3.0,,I'm still feeling it out... We'll see.,Half of the time,A moderate amount,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Fluid - open to whatever happens,25 - 34,Marketing,
5/18/2025,5/18/2025,Survey Preview,,100,325,True,5/18/2025 20:02,R_61ZaGM13LuCTU3e,,,,,21.3133,-157.823,preview,EN,"LGBTQ,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Surfing,Yoga",,"Volley Ball,Poetry,Running,Music Production",Surfing,5.0,Yes,Utah,,3.0,,I'm still feeling it out... We'll see.,Sometimes,A lot,Honolulu,Bachelor’s degree,Female,"Agnostic, Atheist, or non-religious",Gay,Single,25 - 34,Business and Sales,
